年,最高(℃)
1946,34.9
1947,34.7
1948,35
1949,36.1
1950,35.5
1951,36
1952,33.8
1953,34.2
1954,35.4
1955,35.2
1956,34.8
1957,35.4
1958,33.2
1959,33.1
1960,34.4
1961,35.1
1962,37.2
1963,35.3
1964,34.2
1965,37.1
1966,35.4
1967,34.5
1968,34.7
1969,33.9
1970,34.3
1971,37.7
1972,34.4
1973,35.4
1974,34.4
1975,35.5
1976,34.1
1977,35.5
1978,38.5
1979,35.6
1980,36
1981,36.1
1982,35.7
1983,36.3
1984,35.7
1985,36.4
1986,37.1
1987,36.6
1988,35.2
1989,35.5
1990,37.8
1991,35.6
1992,34.9
1993,34.6
1994,38.1
1995,34.5
1996,34.8
1997,37.5
1998,35.8
1999,38.2
2000,37.3
2001,35.4
2002,37
2003,37.1
2004,37
2005,35
2006,38
2007,36.5
2008,34.8
2009,36.3
2010,35.1
2011,37.3
2012,36.2
2013,35.1
2014,36.1
2015,36
2016,35.9
2017,36.4
2018,39.9
2019,39.2
2020,38.8
2021,38.2
2022,35.6
