年,最低気温(℃)
1946,-4.1
1947,-6.3
1948,-4.7
1949,-4.2
1950,-6.6
1951,-7.6
1952,-4.9
1953,-6.6
1954,-4.1
1955,-4.1
1956,-6.5
1957,-4.4
1958,-5.3
1959,-4.4
1960,-4.6
1961,-6.6
1962,-3.9
1963,-4
1964,-3.8
1965,-4.7
1966,-5.4
1967,-9.4
1968,-8.3
1969,-9.5
1970,-5.2
1971,-6.6
1972,-3.9
1973,-4
1974,-6.3
1975,-5.7
1976,-6.6
1977,-5.3
1978,-10.6
1979,-3.2
1980,-2.9
1981,-5.7
1982,-5.6
1983,-8.3
1984,-7.9
1985,-6.6
1986,-4.7
1987,-4.2
1988,-6.6
1989,-4.8
1990,-3
1991,-3.6
1992,-2.3
1993,-2.9
1994,-2.5
1995,-5.9
1996,-3.8
1997,-3.9
1998,-4.9
1999,-2.3
2000,-3.9
2001,-2.2
2002,-4.2
2003,-4
2004,-3.1
2005,-4.7
2006,-2.2
2007,-3.2
2008,-4.1
2009,-3.7
2010,-2.8
2011,-4.2
2012,-3.8
2013,-4.4
2014,-3.4
2015,-3.5
2016,-4
2017,-5.9
2018,-1.8
2019,-3.7
2020,-5
2021,-3.4
2022,-2.3
