年,月,月平均気温
1946,1,1.9
1946,2,1.7
1946,3,3.5
1946,4,10.7
1946,5,14.5
1946,6,21.6
1946,7,25.6
1946,8,26.5
1946,9,20.9
1946,10,16.2
1946,11,11.3
1946,12,3.5
1947,1,1.5
1947,2,0.3
1947,3,3.4
1947,4,9.9
1947,5,13.9
1947,6,18.3
1947,7,24.3
1947,8,26.1
1947,9,21
1947,10,14.5
1947,11,8.6
1947,12,2
1948,1,2.3
1948,2,2
1948,3,4.4
1948,4,11.5
1948,5,16.6
1948,6,21.1
1948,7,25.6
1948,8,26.2
1948,9,21.3
1948,10,15.4
1948,11,9.7
1948,12,7.1
1949,1,4.4
1949,2,4.2
1949,3,3.1
1949,4,8.8
1949,5,16.4
1949,6,19
1949,7,24
1949,8,26.2
1949,9,21.5
1949,10,15.2
1949,11,9.1
1949,12,4.8
1950,1,2.5
1950,2,2.5
1950,3,5.5
1950,4,11
1950,5,17.2
1950,6,19.7
1950,7,25.4
1950,8,26.7
1950,9,22.8
1950,10,14.3
1950,11,10
1950,12,3.9
1951,1,0.5
1951,2,2.7
1951,3,5
1951,4,10.3
1951,5,15.7
1951,6,19.8
1951,7,23.5
1951,8,26.8
1951,9,19.7
1951,10,16.3
1951,11,9.9
1951,12,6.4
1952,1,2.5
1952,2,0.2
1952,3,4.6
1952,4,10.3
1952,5,14.7
1952,6,19.8
1952,7,23.6
1952,8,25.1
1952,9,20.7
1952,10,15.4
1952,11,10
1952,12,3.5
1953,1,1.7
1953,2,0.9
1953,3,6.1
1953,4,9.7
1953,5,15
1953,6,20.2
1953,7,23.9
1953,8,24.2
1953,9,21
1953,10,15.6
1953,11,8.2
1953,12,5.7
1954,1,2.3
1954,2,3
1954,3,4.9
1954,4,11.2
1954,5,15.2
1954,6,17.7
1954,7,22.3
1954,8,25.7
1954,9,23.4
1954,10,15
1954,11,10.4
1954,12,5.1
1955,1,1.7
1955,2,3.2
1955,3,5.7
1955,4,10.9
1955,5,15.5
1955,6,21
1955,7,26.6
1955,8,26
1955,9,21.1
1955,10,16
1955,11,9.2
1955,12,6.2
1956,1,1.8
1956,2,0.9
1956,3,5.4
1956,4,10.2
1956,5,15.8
1956,6,19.5
1956,7,23.5
1956,8,23.8
1956,9,21.8
1956,10,16.1
1956,11,9.9
1956,12,2.9
1957,1,2.4
1957,2,1.3
1957,3,3.2
1957,4,10.5
1957,5,15.2
1957,6,18.8
1957,7,23.4
1957,8,25.9
1957,9,19.9
1957,10,15.3
1957,11,10.4
1957,12,5.8
1958,1,2.3
1958,2,3.6
1958,3,4.9
1958,4,10.5
1958,5,15.4
1958,6,20.7
1958,7,23.7
1958,8,24.4
1958,9,21.2
1958,10,15.1
1958,11,9.3
1958,12,6.8
1959,1,1.7
1959,2,4.4
1959,3,6.6
1959,4,12
1959,5,16.1
1959,6,19.9
1959,7,23.7
1959,8,25.1
