年,月,平均気温(℃),最高平均気温(℃),最低平均気温(℃),最高気温(℃),最低気温(℃)
1946,1,1.9,5,-0.6,11.3,-4
1946,2,1.7,4.5,-0.9,11,-3.6
1946,3,3.5,6.6,0.6,15.8,-4.1
1946,4,10.7,15.9,6.6,24.6,1.1
1946,5,14.5,18.3,11.2,26.4,5.3
1946,6,21.6,26.5,18.1,31.3,13.5
1946,7,25.6,30,22.5,34.9,19.8
1946,8,26.5,32.3,22.6,34.6,18.8
1946,9,20.9,26,17.1,30.4,12.7
1946,10,16.2,20.4,12.4,31.9,5
1946,11,11.3,15.2,7.7,19.8,2.6
1946,12,3.5,5.5,0.8,12.8,-2.6
1947,1,1.5,4.1,-1.1,10.2,-6.2
1947,2,0.3,2.7,-2.3,6.5,-5.4
1947,3,3.4,6.6,0.2,13.2,-4.2
1947,4,9.9,15.5,4.9,24,-0.1
1947,5,13.9,18.3,10.3,27.6,2.6
1947,6,18.3,21.9,15.2,30.3,11.3
1947,7,24.3,28.4,21.3,34.5,17.4
1947,8,26.1,30.8,22.6,34.7,18.3
1947,9,21,25.2,17.8,31.6,13
1947,10,14.5,18,11.5,21.7,6.1
1947,11,8.6,12.3,5.4,19.9,1.1
1947,12,2,4.6,-1,12.7,-6.3
1948,1,2.3,5.2,-0.4,13.8,-4.7
1948,2,2,4.7,-0.4,10.1,-3.6
1948,3,4.4,7.6,1.6,16.7,-1.2
1948,4,11.5,16.7,7.5,23.7,1.7
1948,5,16.6,21.6,12.4,28.6,9
1948,6,21.1,25.6,17.6,31.2,11
1948,7,25.6,29.8,22.6,35,20.5
1948,8,26.2,31,22.9,35,18.6
1948,9,21.3,25.4,18.2,33.9,11.3
1948,10,15.4,19,12.6,24.9,7.9
1948,11,9.7,13,6.5,20,1.1
1948,12,7.1,10.2,4,15.7,-0.5
1949,1,4.4,7.1,1.8,13.3,-1.3
1949,2,4.2,7.1,1.7,12.3,-2.5
1949,3,3.1,6.3,0.1,15.3,-2.8
1949,4,8.8,12.9,5.2,21.5,0.1
1949,5,16.4,21.4,12.2,30.6,5.9
1949,6,19,22.6,16.2,29.1,12
1949,7,24,28.4,21.1,35.2,16.6
1949,8,26.2,31.4,22.5,36.1,18.8
1949,9,21.5,25.8,18.4,30.8,14.5
1949,10,15.2,19,12.1,22.1,3.3
1949,11,9.1,12.7,5.8,19.1,0.9
1949,12,4.8,7.5,2.3,16.2,-4.2
1950,1,2.5,5.6,-0.9,12,-6.6
1950,2,2.5,5.1,0,12.7,-3.4
1950,3,5.5,9.6,1.9,19.5,-2.1
1950,4,11,15.5,7.4,24.1,1.2
1950,5,17.2,22.3,13.2,29.5,8.9
1950,6,19.7,23,17.3,28.7,12.8
1950,7,25.4,29.8,22.1,35.4,15.5
1950,8,26.7,31.4,23.3,35.5,18.4
1950,9,22.8,27.3,19.9,34.6,14.2
1950,10,14.3,18,11.3,23.6,7.3
1950,11,10,14,6.3,22.2,1
1950,12,3.9,7,1.1,12.7,-2.7
1951,1,0.5,3.1,-2,6.4,-7.6
1951,2,2.7,5.8,-0.4,14.7,-3.8
1951,3,5,9.1,1.6,17.1,-3.3
1951,4,10.3,14.8,6.6,22.4,2.3
1951,5,15.7,20.9,11.5,27.3,3.9
1951,6,19.8,24.3,16.5,31.9,13.9
1951,7,23.5,27.7,20.3,34.2,16.5
1951,8,26.8,32,23.1,36,18.5
1951,9,19.7,24,16.4,27,11.7
1951,10,16.3,20.3,12.8,28.6,7.4
1951,11,9.9,13.5,6.5,20.7,0.4
1951,12,6.4,9.8,3.6,14.8,-0.7
1952,1,2.5,5.2,-0.1,11.5,-3.4
1952,2,0.2,2.9,-2,6.3,-4.9
1952,3,4.6,8.1,1.3,13.6,-2.1
1952,4,10.3,14.7,6.6,26.8,1
1952,5,14.7,19.5,10.8,27.1,4.3
1952,6,19.8,23.5,16.8,30.3,13.7
1952,7,23.6,27.3,21,32.9,16.4
1952,8,25.1,28.9,22.1,33.8,17.8
1952,9,20.7,24.7,17.7,29.5,13.9
1952,10,15.4,19.4,12,24.6,5.8
1952,11,10,14.3,6.3,21.1,2.2
1952,12,3.5,6.6,0.8,13.8,-4
1953,1,1.7,4.3,-0.6,11.5,-6.6
1953,2,0.9,3.9,-1.7,12.8,-3.6
1953,3,6.1,9.7,3.4,15.8,-0.2
1953,4,9.7,14.2,5.8,24.3,1.8
1953,5,15,19.2,11.2,26.8,2.2
1953,6,20.2,23.9,17.6,30,13.5
1953,7,23.9,27.7,20.9,33.6,17.7
1953,8,24.2,28,21.6,34.2,16.6
1953,9,21,24.7,17.8,29.2,12.7
1953,10,15.6,20.1,12,24.8,7
1953,11,8.2,11.6,5.5,19.1,0.9
1953,12,5.7,8.7,3.2,18.2,-2.2
1954,1,2.3,5.2,-0.3,10.3,-3.2
1954,2,3,7,0.1,17.9,-4.1
1954,3,4.9,8.3,1.8,18.7,-3.5
1954,4,11.2,15.3,7.6,23.4,-0.2
1954,5,15.2,19.5,11.5,27.4,4.8
