年,月,日最高気温の平均(℃)
1946,1,5
1946,2,4.5
1946,3,6.6
1946,4,15.9
1946,5,18.3
1946,6,26.5
1946,7,30
1946,8,32.3
1946,9,26
1946,10,20.4
1946,11,15.2
1946,12,5.5
1947,1,4.1
1947,2,2.7
1947,3,6.6
1947,4,15.5
1947,5,18.3
1947,6,21.9
1947,7,28.4
1947,8,30.8
1947,9,25.2
1947,10,18
1947,11,12.3
1947,12,4.6
1948,1,5.2
1948,2,4.7
1948,3,7.6
1948,4,16.7
1948,5,21.6
1948,6,25.6
1948,7,29.8
1948,8,31
1948,9,25.4
1948,10,19
1948,11,13
1948,12,10.2
1949,1,7.1
1949,2,7.1
1949,3,6.3
1949,4,12.9
1949,5,21.4
1949,6,22.6
1949,7,28.4
1949,8,31.4
1949,9,25.8
1949,10,19
1949,11,12.7
1949,12,7.5
1950,1,5.6
1950,2,5.1
1950,3,9.6
1950,4,15.5
1950,5,22.3
1950,6,23
1950,7,29.8
1950,8,31.4
1950,9,27.3
1950,10,18
1950,11,14
1950,12,7
1951,1,3.1
1951,2,5.8
1951,3,9.1
1951,4,14.8
1951,5,20.9
1951,6,24.3
1951,7,27.7
1951,8,32
1951,9,24
1951,10,20.3
1951,11,13.5
1951,12,9.8
1952,1,5.2
1952,2,2.9
1952,3,8.1
1952,4,14.7
1952,5,19.5
1952,6,23.5
1952,7,27.3
1952,8,28.9
1952,9,24.7
1952,10,19.4
1952,11,14.3
1952,12,6.6
1953,1,4.3
1953,2,3.9
1953,3,9.7
1953,4,14.2
1953,5,19.2
1953,6,23.9
1953,7,27.7
1953,8,28
1953,9,24.7
1953,10,20.1
1953,11,11.6
1953,12,8.7
1954,1,5.2
1954,2,7
1954,3,8.3
1954,4,15.3
1954,5,19.5
1954,6,20.6
1954,7,25.7
1954,8,29.5
1954,9,27.4
1954,10,18.5
1954,11,14.2
1954,12,8.1
1955,1,4.5
1955,2,7.2
1955,3,9.1
1955,4,15.8
1955,5,19.7
1955,6,25
1955,7,30.9
1955,8,30.2
1955,9,24.9
1955,10,19.1
1955,11,13.3
1955,12,10.2
1956,1,4.3
1956,2,4.2
1956,3,8.5
1956,4,15
1956,5,20.2
1956,6,22.7
1956,7,26.7
1956,8,27.4
1956,9,25.9
1956,10,19.5
1956,11,13.3
1956,12,5.3
1957,1,5.9
1957,2,3.8
1957,3,6.8
1957,4,15.4
1957,5,19.9
1957,6,22.6
1957,7,26.9
1957,8,29.6
1957,9,23.6
1957,10,19.7
1957,11,14.7
1957,12,9.1
1958,1,5.3
1958,2,7.1
1958,3,8.8
1958,4,14.8
1958,5,20.1
1958,6,25.2
1958,7,26.8
1958,8,28
1958,9,24.6
1958,10,19.2
1958,11,13.1
1958,12,10.2
1959,1,4.5
1959,2,7.7
1959,3,9.9
1959,4,17
1959,5,20.6
1959,6,23.3
1959,7,27.4
1959,8,29.1
1959,9,26.3
1959,10,19.9
1959,11,14.1
1959,12,8.5
1960,1,5.3
1960,2,7.5
1960,3,9.6
1960,4,14.4
1960,5,19.8
1960,6,23.7
1960,7,26.9
1960,8,30.6
1960,9,25.7
1960,10,19.6
1960,11,14.7
1960,12,7.8
1961,1,3.5
1961,2,4.8
1961,3,8.9
1961,4,16.6
1961,5,22.3
1961,6,23.3
1961,7,29.8
1961,8,30.5
1961,9,28.1
1961,10,20.6
1961,11,14.4
1961,12,8.7
1962,1,5
1962,2,6.1
1962,3,8.8
1962,4,15.6
1962,5,21.6
1962,6,22.5
1962,7,29.1
1962,8,31.4
1962,9,26.6
1962,10,18.7
1962,11,13.2
1962,12,9.2
1963,1,3.4
1963,2,5
1963,3,9.3
1963,4,17
1963,5,20.7
1963,6,24.6
1963,7,28.4
1963,8,29.9
1963,9,23.8
1963,10,18.8
1963,11,13.9
1963,12,9.6
1964,1,6.1
1964,2,4.2
1964,3,8.6
1964,4,17.2
1964,5,21.4
1964,6,22.9
1964,7,27.3
1964,8,31.3
1964,9,23.6
1964,10,18.6
1964,11,13.6
1964,12,7.8
1965,1,5.4
1965,2,4.7
1965,3,7.6
1965,4,12.7
1965,5,21.3
1965,6,24.1
1965,7,25.3
1965,8,30.9
1965,9,25.4
1965,10,19.5
1965,11,14.2
1965,12,7.5
1966,1,5
1966,2,7.9
1966,3,10.1
1966,4,15.6
1966,5,19.8
1966,6,23.4
1966,7,26.8
1966,8,31.2
1966,9,24.9
1966,10,20.6
1966,11,13.7
1966,12,6.1
1967,1,4.4
1967,2,5.4
1967,3,10.1
1967,4,15
1967,5,21.9
1967,6,24.6
1967,7,28.6
1967,8,30.1
1967,9,25.6
1967,10,19.1
1967,11,13
1967,12,5.9
1968,1,4.5
1968,2,3.7
1968,3,9.6
1968,4,15.3
1968,5,19
1968,6,24.7
1968,7,29.1
1968,8,28.8
1968,9,26
1968,10,18.3
1968,11,14.6
1968,12,10.3
1969,1,4.2
1969,2,5.1
1969,3,7.6
1969,4,15.4
1969,5,21.3
1969,6,24.3
1969,7,28
1969,8,29
1969,9,24.7
1969,10,19.1
1969,11,13.6
1969,12,6.2
1970,1,3.8
1970,2,5.4
1970,3,5.1
1970,4,14.4
