年月,月,日最低気温の平均(℃)
1946,1,-0.6
1946,2,-0.9
1946,3,0.6
1946,4,6.6
1946,5,11.2
1946,6,18.1
1946,7,22.5
1946,8,22.6
1946,9,17.1
1946,10,12.4
1946,11,7.7
1946,12,0.8
1947,1,-1.1
1947,2,-2.3
1947,3,0.2
1947,4,4.9
1947,5,10.3
1947,6,15.2
1947,7,21.3
1947,8,22.6
1947,9,17.8
1947,10,11.5
1947,11,5.4
1947,12,-1
1948,1,-0.4
1948,2,-0.4
1948,3,1.6
1948,4,7.5
1948,5,12.4
1948,6,17.6
1948,7,22.6
1948,8,22.9
1948,9,18.2
1948,10,12.6
1948,11,6.5
1948,12,4
1949,1,1.8
1949,2,1.7
1949,3,0.1
1949,4,5.2
1949,5,12.2
1949,6,16.2
1949,7,21.1
1949,8,22.5
1949,9,18.4
1949,10,12.1
1949,11,5.8
1949,12,2.3
1950,1,-0.9
1950,2,0
1950,3,1.9
1950,4,7.4
1950,5,13.2
1950,6,17.3
1950,7,22.1
1950,8,23.3
1950,9,19.9
1950,10,11.3
1950,11,6.3
1950,12,1.1
1951,1,-2
1951,2,-0.4
1951,3,1.6
1951,4,6.6
1951,5,11.5
1951,6,16.5
1951,7,20.3
1951,8,23.1
1951,9,16.4
1951,10,12.8
1951,11,6.5
1951,12,3.6
1952,1,-0.1
1952,2,-2
1952,3,1.3
1952,4,6.6
1952,5,10.8
1952,6,16.8
1952,7,21
1952,8,22.1
1952,9,17.7
1952,10,12
1952,11,6.3
1952,12,0.8
1953,1,-0.6
1953,2,-1.7
1953,3,3.4
1953,4,5.8
1953,5,11.2
1953,6,17.6
1953,7,20.9
1953,8,21.6
1953,9,17.8
1953,10,12
1953,11,5.5
1953,12,3.2
1954,1,-0.3
1954,2,0.1
1954,3,1.8
1954,4,7.6
1954,5,11.5
1954,6,15.4
1954,7,19.6
1954,8,22.8
1954,9,20.3
1954,10,12.1
1954,11,7.3
1954,12,2.4
1955,1,-0.7
1955,2,0.1
1955,3,3.1
1955,4,7
1955,5,12.3
1955,6,17.4
1955,7,23.1
1955,8,22.6
1955,9,17.7
1955,10,13.6
1955,11,5.8
1955,12,3.1
1956,1,-0.4
1956,2,-1.7
1956,3,2.7
1956,4,6.1
1956,5,12
1956,6,17.1
1956,7,21
1956,8,21
1956,9,18.6
1956,10,13.3
1956,11,7.3
1956,12,1
1957,1,-0.3
1957,2,-0.9
1957,3,0.3
1957,4,6.2
1957,5,11.6
1957,6,15.6
1957,7,20.8
1957,8,23
1957,9,16.7
1957,10,11.8
1957,11,6.9
1957,12,3.1
1958,1,-0.4
1958,2,0.8
1958,3,1.6
1958,4,6.7
1958,5,11.6
1958,6,17.2
1958,7,21.3
1958,8,21.5
1958,9,18.4
1958,10,12
1958,11,6.3
1958,12,4
1959,1,-0.9
1959,2,1.8
1959,3,3.3
1959,4,7.6
1959,5,12.6
1959,6,17
1959,7,21
1959,8,21.9
1959,9,19.4
1959,10,12.8
1959,11,7
1959,12,2.6
1960,1,-0.2
1960,2,0.4
1960,3,2.6
1960,4,6
1960,5,12.5
1960,6,16.7
1960,7,20.8
1960,8,23.2
1960,9,18.7
1960,10,12.4
1960,11,8.4
1960,12,2.6
